Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
Liquidmind.ai,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","Use STAR method. Highlight innovation in fintech.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Focus on bridging the gap between tech and business teams.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Demonstrate data-driven product decision making.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"Tell me about yourself.","Introduction highlighting SaaS and product experience.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Detail specific metrics and outcomes of your projects.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"What are your long-term career goals in analytics?","Align with becoming a data-driven product leader.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"What motivates you to work in the analytics field?","Passion for actionable insights and systematic problem solving.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"Why MBA?","To gain strategic perspective on product and market fit.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"Why are you interested in our company and this role?","Show interest in Liquidmind's specific AI/ML applications.",Yes
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To master the tools that drive modern tech businesses.",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"Ola's business is stagnating. How would you revive it?","Use a structured framework (e.g., SWOT, 4Ps). Analyze market data, competitor landscape, and customer feedback to suggest targeted strategies.",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"Write a SQL query to find the customer name and the time of their first purchase.","Use window functions like RANK() or ROW_NUMBER() partitioned by customer and ordered by date, then select the top rank.",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"Difference between NumPy and Pandas?","NumPy is for numerical computations (arrays/matrices). Pandas is for structured data manipulation (DataFrames/Series) and handling real-world data issues.",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"How do you evaluate model performance?","Discuss metrics relevant to the problem type: Accuracy, Precision, Recall, F1-Score (classification) or RMSE, MAE (regression). Mention Confusion Matrix.",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"Explain ARIMA, SARIMA, GARCH models.","ARIMA: Stationary data. SARIMA: Seasonal data. GARCH: Volatility modeling (e.g., financial markets).",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"Guesstimate: Estimate the number of iPhones sold in China.","Top-down approach: Total Population -> Urban/Rural -> Smartphone Users -> iOS Market Share -> Replacement Cycle.",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"What is the difference between list and tuple in Python?","Lists are mutable (can change). Tuples are immutable (cannot change). Tuples are faster and memory efficient.",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"Explain K-Means clustering and how to decide the number of clusters.","It's an unsupervised algorithm grouping data points. Number of clusters (K) is decided using the Elbow Method (looking for the bend in the WCSS curve).",Yes
MiQ,Marketing Analytics,Senior Analyst,Technical,Medium,"What is the difference between mean, median, and mode?","Mean: Average. Median: Middle value. Mode: Most frequent. discuss impact of outliers on Mean vs Median.",Yes
