Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS,,,,,Abbott
Abbott,Finance,Analyst,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,Aditya Birla Management Corp.
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,EY
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,Guidewire Software
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,IDFC First Bank
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,Indian Bank
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,Kyoren Labs
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,LenDen Club
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,Liquidmind.ai
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,Mitigata
Abbott,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,Moody's Analytics
Aditya Birla Management Corp.,Healthcare,"Data Automation, Data Science Intern",Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Noccarc Robotics
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Raaz App
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Reliance Industries - AJIO
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Sodexo
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Tata Capital
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Taurus Mutual Funds
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Vodafone-Idea
