Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
LenDen Club,Product Management,Product Intern,Technical,Medium,"What are the top 3 features of your most used app, and what improvements would you suggest?","Product Critique Framework: Define the app, user persona, and goal. Analyze features (pros/cons). Suggest metric-driven improvements.",Yes
LenDen Club,Product Management,Product Intern,Technical,Medium,"Identify potential users for this app (apart from you) and how you would solve their problems.","User Segmentation: Demographic/Psychographic. Pain point analysis. Solutioning with feature mapping.",Yes
LenDen Club,Product Management,Product Intern,Behavioral,Medium,"What do you think a Product Manager's day-to-day looks like?","Mention mix of: Standups, Stakeholder communication (Eng/Design), Data analysis, User research, and Documentation (PRDs).",Yes
LenDen Club,Digital Marketing,Marketing Intern,Technical,Easy,"What is a backlink?","A link from one website to another. Crucial for SEO authority and ranking.",Yes
LenDen Club,Digital Marketing,Marketing Intern,Technical,Medium,"What is SEO and what are some popular tools?","SEO: Optimizing visibility. Tools: SEMrush, Ahrefs, Google Search Console, Moz.",Yes
Abbott,Healthcare Analytics,Data Science Intern,Technical,Medium,"Scenario: You have a list of doctor names and addresses in Excel. How do you validate if the addresses are correct?","Use Google Maps API or medical registry databases for validation. Automate with PythonScript/Pandas or Excel VBA.",Yes
Abbott,Healthcare Analytics,Data Science Intern,Technical,Medium,"How would you automate updating data from Excel to a PowerPoint presentation on a monthly basis?","Use Python libraries like `python-pptx` and `pandas`, or VBA macros to link Excel ranges to PowerPoint slides.",Yes
Abbott,Healthcare Analytics,Data Science Intern,Technical,Medium,"How do you handle missing values in a dataset?","Imputation (Mean/Median/Mode), KNN imputation, deleting rows (if insignificant), or predicting values using regression.",Yes
Abbott,Healthcare Analytics,Data Science Intern,Technical,Medium,"Compare two datasets using Pandas.","Use `df.compare()`, `df.equals()`, or merge/join with indicator=True to find diffs.",Yes
Mitigata,InsurTech,Founder's Office Intern,Strategy,Hard,"Design a Go-To-Market (GTM) strategy for a new domain/product.","Target Audience -> Value Proposition -> Channels (Sales/Marketing) -> Pricing -> Launch Timeline -> Metrics (KPIs).",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"What do you understand by the responsibilities of a Founder's Office role?","Cross-functional execution, strategic initiatives, special projects, and being a force multiplier for the founders.",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"Explain SLR (Simple Linear Regression) and Multi-collinearity.","SLR: Relation between one dependent and independent variable. Multi-collinearity: When independent variables are highly correlated, skewing results (check VIF).",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"What are the different types of SQL joins? Explain their significance.","Inner (matching), Left (all left + matching right), Right (all right + matching left), Full (all), Cross (Cartesian). crucial for combining data tables.",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"What is the difference between an NBFC and a Bank?","NBFCs cannot accept demand deposits (checks) and are not part of payment settlement system. Banks are more regulated under Banking Regulation Act.",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"Scenario: Identify the top 5 customers who have the maximum debit in a transaction dataset.","SQL: `SELECT customer_id, SUM(debit_amount) FROM transactions GROUP BY customer_id ORDER BY SUM(debit_amount) DESC LIMIT 5;`",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"What is Interest Discount?","Reduction in interest rate offered to preferred customers or during promotions to increase loan uptake.",Yes
Kyoren Labs,Healthcare,Business Analyst,Strategy,Medium,"Situation: How would you approach a new product launch from a data collection and strategy standpoint?","Define KPIs -> Identify Data Sources (Primary/Secondary) -> Set up Tracking (Google Analytics/Mixpanel) -> Feedback Loop strategy.",Yes
Kyoren Labs,Healthcare,Business Analyst,Strategy,Medium,"Develop a pricing strategy for new skin care products using industry analysis.","Competitor Price Benchmarking -> Cost-Plus vs Value-Based Pricing -> Psychology of pricing (premium vs mass market).",Yes
EY,Consulting,Tech Assurance,Behavioral,Medium,"Tell me about a situation at work for which you got appreciation.","STAR method. Focus on going above and beyond, or solving a critical/time-sensitive problem.",Yes
EY,Consulting,Tech Assurance,Behavioral,Medium,"How did you handle conflicts/timeline delays during your projects?","Proactive communication, renegotiating scope/deadlines, allocating extra resources, and keeping stakeholders informed.",Yes
