Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
HSBC,Finance,Analyst,Finance,Medium,What is the Inventory Turnover Ratio formula and how do you interpret it?,Explain formula (COGS / Avg Inventory) and implies efficiency of sales.,Yes
HSBC,Finance,Analyst,Finance,Medium,Explain the Cash Conversion Cycle formula and its interpretation.,Days Inventory Outstanding + Days Sales Outstanding - Days Payable Outstanding.,Yes
HSBC,Finance,Analyst,Finance,Medium,List the fundamental Principles of Accounting.,"Mention accrual, consistency, prudence, going concern, entity concept.",Yes
HSBC,Consulting,Analyst,Guesstimate,Medium,Estimate the number of Two-Wheelers sold annually in India.,Population -> Target Segment -> Income Levels -> Replacement vs New Demand.,Yes
HSBC,General,Analyst,Behavioral,Medium,How do you measure the performance of a team or individual in banking operations context?,"Mention KPIs like accuracy, turnaround time (TAT), customer satisfaction, and error rates.",Yes
HSBC,Finance,Analyst,Finance,Medium,What metrics indicate effective revenue generation for a bank?,"NIM (Net Interest Margin), Fee-based income, Loan book growth, CASA ratio.",Yes
HSBC,Product,Analyst,Product Management,Medium,Explain the concept of 'Share of Wallet' in banking.,Percentage of a customer's total spend/assets held with us vs competitors.,Yes
HSBC,General,Analyst,General Awareness,Medium,What are the key products offered by HSBC?,"Retail Banking, Wealth Management, Commercial Banking, Global Banking & Markets.",Yes
HSBC,Finance,Analyst,Finance,Medium,What is the difference between Market Risk and Credit Risk?,Market: Losses due to market factor movements. Credit: Default by counterparty.,Yes
HSBC,Analytics,Analyst,General Awareness,Medium,Is AI a job creator or a job destroyer?,"Discuss automation vs augmentation, new roles created (ML Ops) vs redundant routine tasks.",Yes
HSBC,Finance,Analyst,Finance,Medium,Differentiate between Systematic and Unsystematic Risk.,Systematic: Market-wide (non-diversifiable). Unsystematic: Company-specific (diversifiable).,Yes
HSBC,Analytics,Analyst,SQL,Medium,Explain the concept of Binning in SQL.,Using CASE statements to categorize continuous variables into groups.,Yes
HSBC,Analytics,Analyst,Python,Medium,How do you access the 5th row and 3rd column of a dataframe in Pandas?,"df.iloc[4, 2]",Yes
HSBC,Analytics,Analyst,Python,Medium,How do you append two dataframes in Python?,"pd.concat([df1, df2]) or df1.append(df2) (deprecated).",Yes
HSBC,Analytics,Analyst,Python,Medium,What happens to the columns if you join a dataframe with 5 columns and another with 7 columns?,"Depends on join type, generally 5+7 = 12 columns if no overlap/suffix handling.",Yes
HSBC,Finance,Analyst,Finance,Medium,What are Derivatives in finance?,"Contracts deriving value from underlying assets (Options, Futures, Swaps).",Yes
HSBC,Finance,Analyst,Finance,Medium,Why is a Mutual Fund called 'Mutual'?,Pooled money from many investors mutually shared for returns/risks.,Yes
