Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
Liquidmind.ai,FinTech,Data Science Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","Use STAR method. Highlight innovation in fintech.",Yes
Liquidmind.ai,FinTech,Data Science Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Focus on bridging the gap between tech and business teams.",Yes
Liquidmind.ai,FinTech,Data Science Intern,Behavioral,Medium,"Tell me about yourself.","Introduction highlighting SaaS and product experience.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Highlight financial modeling or data integrity challenges.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Why are you interested in our company and this role?","Mention Moody's dominance in credit ratings and analytics software.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To bring data rigor to market research and strategy in critical industries.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Highlight adaptability and research challenges.",Yes
Raaz App,Technology,Business Analyst,Behavioral,Medium,"Tell me about yourself.","Short professional intro focusing on app dynamics and analytics.",Yes
Raaz App,Technology,Business Analyst,Behavioral,Medium,"How do you prioritize features for a mobile app?","RICE framework (Reach, Impact, Confidence, Effort) or MoSCoW method.",Yes
Reliance Industries - AJIO,E-Commerce,Supply Chain Analyst,Behavioral,Medium,"Describe a time you optimized a process.","Focus on efficiency, cost reduction, or time saving in a logistics/supply chain context.",Yes
Reliance Industries - AJIO,E-Commerce,Supply Chain Analyst,Behavioral,Medium,"How do you handle pressure during peak seasons?","Planning, prioritization, and maintaining calm under high demand.",Yes
Sodexo,Services,Operations Intern,Behavioral,Medium,"Why Sodexo?","Focus on their Quality of Life services and global scale.",Yes
Sodexo,Services,Operations Intern,Behavioral,Medium,"Describe a situation where you had to deal with a difficult client.","Empathy, active listening, and finding a win-win solution.",Yes
Taurus Mutual Funds,Finance,Equity Research Intern,Technical,Medium,"What factors do you consider before investing in a stock?","Fundamental analysis (P/E ratio, debt, management) and macroeconomic factors.",Yes
Taurus Mutual Funds,Finance,Equity Research Intern,Behavioral,Medium,"Tell me about a time you made a mistake in your analysis.","Admit the mistake, explain how you fixed it, and what you learned to prevent recurrence.",Yes
Vodafone-Idea,Telecom,Data Analyst,Behavioral,Medium,"How do you explain complex technical concepts to non-technical stakeholders?","Use analogies, avoid jargon, and focus on business impact.",Yes
Vodafone-Idea,Telecom,Data Analyst,Technical,Medium,"What is Churn Rate and why is it important in Telecom?","Churn = % of customers leaving. Critical because acquiring new customers is costlier than retaining existing ones.",Yes
